node0,node1
11685,11684
11601,12707
7861,949
191,5880
3381,3382
11836,11835
11834,12089
13135,10786
3308,8394
13347,4250
6654,5862
4726,4282
3443,3444
8820,8296
11471,8428
2394,6425
4335,4344
2274,2276
4108,4107
9654,7194
5520,7511
5837,998
1168,11152
12917,11686
12907,12926
1155,1152
1155,1329
11687,12917
6855,11687
5012,11686
13354,3111
1026,1030
12230,12234
9048,9044
9594,13390
3544,7331
3543,7331
1330,9655
13377,3637
13388,3137
13393,13392
13391,3138
8742,8743
5025,5024
3756,3755
11287,4726
1866,1730
8494,2233
12039,13402
13402,12040
13402,12041
13402,12042
1873,1733
11231,942
11132,10161
9300,8285
12741,12742
8285,10779
8285,10036
8285,4531
5310,8285
8285,763
1246,8285
8285,12567
13710,12567
8285,11595
1300,11595
8285,12679
8285,471
11851,8285
713,8285
8285,8759
8759,2546
7792,8285
8285,1580
1584,8285
8285,7568
1070,8285
1259,8285
1200,8285
13438,8285
832,8285
8285,3354
3355,3354
4279,1049
4279,8510
1166,4
8285,8904
8905,8285
8285,9909
8863,8285
969,5758
5758,4119
8966,8285
8285,7067
3882,8285
2905,8285
9137,8285
8285,6862
6862,6863
8285,1740
5061,8790
5060,8285
11535,11316
2619,2620
1049,12597
8285,7827
1815,1870
8992,8285
8285,8993
1150,8285
8285,8713
8285,6445
3459,3458
691,2958
694,13359
693,13409
3689,964
691,13170
691,12134
694,3443
691,1882
691,11686
693,11686
11686,694
10446,11471
8295,13402
4110,4323
1600,11346
1734,1869
3675,9156
3675,9157
12833,10447
7782,10447
7243,10447
11129,11126
10448,11471
10448,6862
11128,11129
8285,10448
12115,3353
12116,3353
6966,6779
11432,11433
3511,3512
11837,11838
7523,7522
11907,11909
576,2703
7334,7079
12465,12505
1142,12495
12462,12495
11917,12453
12598,12601
12601,12599
7725,12491
5623,7359
7708,12108
12922,9651
13302,12953
9871,6854
13689,9007
12656,12903
12911,5652
11688,12917
7067,8966
3892,3889
1966,1961
3886,3854
10714,8596
8440,8441
6816,6815
2173,2577
4543,4308
1524,1526
9594,9593
7564,7563
3177,2869
6699,13052
1542,9043
1197,1246
1197,1137
1166,1246
1246,1148
713,2777
13370,1578
13370,1581
13370,1583
13370,2841
2980,2979
5523,5527
8345,9968
10025,10027
4382,4448
12906,12926
12618,6648
12618,5623
12618,5624
13248,3296
3443,4942
1613,1555
1555,1614
1555,1612
4619,4605
12139,4056
9920,9919
4738,4737
7015,7016
2908,2907
12863,5544
12114,10306
2986,10192
12767,12768
7397,318
1169,11152
3141,3143
3143,3142
2705,1543
12129,5032
12129,12639
3007,1638
6640,12181
2048,2047
1731,1866
7286,7283
7288,7290
8821,8297
8741,8823
8297,8822
8822,8296
8286,8820
8821,8296
8822,8286
8740,8823
8286,8821
8820,8297
8828,9321
9321,8827
7290,7287
7283,7292
7281,7291
7283,7291
4726,4283
5713,7214
9332,8610
8610,9319
5504,5506
11582,11584
13178,13170
5164,8908
666,10479
122,8908
13073,13058
1014,8596
1358,2175
2174,1358
2181,8219
12170,12854
12854,7795
6902,9084
898,6902
4500,6558
12169,12183
13108,7671
4545,4529
9680,1513
1513,9679
9678,1513
12746,4500
4670,4669
1523,9679
9680,1523
4545,4515
1523,9678
4500,4194
5686,5692
11660,10699
4503,9294
4503,4501
4503,4502
4503,11677
11677,4502
4501,11677
8061,5698
11677,13041
11405,11404
9294,1304
11170,5849
6309,3723
210,8898
6428,3848
5883,5882
5883,5879
2764,2754
1434,2342
13363,2723
12737,12738
12738,12736
4288,4287
12863,5275
4284,4286
5407,12696
12485,6021
5003,12602
4798,4799
4790,4789
5573,5572
181,743
195,194
196,195
196,194
204,205
260,255
254,262
4144,8903
4144,1949
7762,12244
12244,7763
8248,7670
2564,2566
1834,2821
1649,2681
2262,2681
2681,2034
6824,6441
12391,12383
1811,6334
9730,9746
8023,1211
8014,8023
5490,5728
5730,5491
3870,5730
5488,1526
5488,5487
7630,7632
7633,7630
7632,7631
1489,7630
1489,7632
1487,1489
7632,1487
9380,7632
5465,5464
12863,5277
5278,5729
253,261
12264,12263
12268,12264
11680,11231
7866,5046
7866,5725
7866,5726
7866,3082
1624,4726
7520,7521
2332,2331
9164,7520
7520,452
2315,7520
29,1073
6010,12864
12864,2163
12864,7550
12864,11065
12635,12864
12864,12636
2220,12864
2222,12864
4720,6339
1624,11451
2815,6533
13132,430
583,1252
11457,6651
61,5368
5726,7867
7867,3085
5287,5473
5473,5472
5467,5281
5630,5634
1734,1635
7868,3492
7867,2314
7867,7060
7868,3084
7868,5725
5726,7868
3085,7868
11864,7868
7868,13404
11582,5029
4407,7833
4134,7517
1890,1304
5482,5465
5483,5729
11584,11585
6136,1403
3842,13268
3844,3842
6117,5316
124,6117
5316,3821
3778,3777
9175,3598
9223,1774
6606,12266
10478,10477
12268,12266
5757,4116
2004,2330
5925,5928
5949,5948
9150,4811
5190,5186
5190,1
1673,11058
5331,3711
3651,3711
6653,12170
8285,1882
1886,1923
2157,3954
2158,3954
2164,3954
2159,3954
6647,5454
7709,9837
6714,1582
1782,5319
12108,9837
9897,8285
4836,8285
1840,6853
6779,7358
1868,1737
4433,1895
2839,1850
1728,1866
1866,1729
4836,8903
1049,8721
2272,7662
3687,9361
10741,7757
1840,3935
3979,3904
3904,13142
5688,5517
8409,8428
814,8410
10390,6405
8409,12076
8410,324
5678,5691
1809,10998
1809,11068
7903,6050
8627,3729
5844,8627
6112,5657
6105,5658
5658,6106
5658,6107
5658,6112
5660,6112
4015,5820
176,743
607,611
10651,10650
1736,7039
7540,3716
6740,3123
6740,7358
5758,7039
5675,5688
5688,5678
5679,5688
5674,5688
5672,5688
5686,5688
9846,9845
8001,7267
5690,5673
6349,8523
13206,8523
11603,11958
1790,1822
3396,3397
3397,12499
12460,12493
12501,12464
12498,12459
12466,12506
12467,12507
9315,5987
783,9315
9315,511
9315,3165
9324,9315
11576,9315
11584,11272
11272,9315
5688,5670
3954,4706
9666,11471
6,9666
872,8389
8389,873
8587,2150
8561,8562
5685,5689
5732,5733
5688,5676
5689,5684
5689,5687
1774,8610
1810,1786
6369,1794
5677,5688
5734,2735
7014,5033
1835,1436
12202,612
613,12202
614,12202
5686,5690
8610,10986
8610,8881
1160,9081
1606,1160
9072,1160
6367,1160
13419,64
6299,64
1162,64
13368,64
6298,64
64,145
64,13420
2872,2871
76,73
77,73
74,73
73,75
11129,11127
4494,10674
6605,1775
2389,6762
2736,2737
2730,13971
11471,2730
7636,5652
12903,5652
5652,9089
5652,4074
5630,5652
5495,5518
11128,5497
5729,5499
2614,2615
5502,5503
12050,13161
9319,4726
1624,1276
1624,13161
5500,5729
12863,5279
5466,5280
5728,5507
5508,5036
11151,1355
5293,5481
5561,5728
5468,1811
5494,9223
9357,5496
10796,5496
2613,5496
4082,4081
2617,2616
12846,11656
4469,5729
5729,9171
12615,6647
12496,12462
1807,12502
12605,12452
8699,2625
2625,9326
6304,4720
6304,8881
4242,6339
6339,7531
6654,11859
5329,5328
12490,1381
1827,1791
1791,1831
5447,7708
2204,2170
3099,3096
11867,9380
5694,5676
1073,5071
1478,6124
7631,2589
9380,1784
7631,1784
8238,7111
1073,5073
12864,6006
6007,12864
2153,6120
6122,2152
13369,1363
1364,1782
5693,5686
12135,6583
5688,5680
5695,5686
11198,9166
11802,13085
11285,131
977,985
976,977
977,984
2092,2094
3438,3437
8677,8676
12140,12135
9666,0
7150,7149
6243,6760
1874,1748
5650,5649
8790,5630
7798,6778
10230,11116
2575,5963
8013,8023
10231,499
499,10232
2006,2330
1776,1828
2821,2330
1430,1429
