711_Known_Cancer_Genes	1661_Candidate_Cancer_Genes
CTNNB1	GOLGA6L6
TP53	VCX3B
MEN1	POTED
ZNRF3	OR2T33
DAXX	C1orf127
MED12	PRG4
H3F3A	MST1
H3F3B	SPTA1
PTPRB	TCHH
PLCG1	KEL
HRAS	ABCC9
KRAS	COL1A2
NRAS	MROH2B
AKT1	NLRP5
KDM6A	GABRA6
ASXL1	SEMA3C
CDKN2A	SCN9A
CREBBP	CDH18
NF1	ABCB1
PTPRT	DRD5
SETD2	ADAM29
MET	SEMG1
CHEK2	TPTE2
BRAF	CDH9
MUC4	CALCR
PREX2	TRPV6
PIK3CA	SEMA3E
PIK3R1	TRIM51
NOTCH1	SULT1B1
IDH1	SLC26A3
CIC	DYNC1I1
FUBP1	ZNF99
EGFR	MMP13
PTEN	CARD6
RB1	ZNF844
ATRX	LRRC55
PDGFRA	IL18RAP
STAG2	AFM
LZTR1	UGT2A3
DCAF12L2	GABRB2
RPL5	GABRA1
QKI	FGA
ARID2	FRMD7
PPP6C	SIGLEC8
RAC1	FOXR2
DDX3X	ANKRD36
KNSTRN	WNT2
MAP2K1	LUM
B2M	RFX6
ERBB2	GPX5
RHOA	PODNL1
CD28	CD3EAP
NFKB2	CDHR3
FAS	GCSAML
DNMT3A	KRTAP20-2
ARID1A	ODF4
ZEB1	LCE4A
STAT5B	CDX4
DCC	PLCH2
TNC	PARD6B
PTPRK	TMEM147
GRM3	CFAP47
PRKACA	ITGA4
PRKAR1A	PCED1B
GNAS	MSR1
APC	RPS27
STAT3	SIRPB1
TRAF7	MRPS31
KLF4	NOTCH2NL
SMO	ZFX
NF2	RAPGEF5
ALK	RCAN2
PTPN11	PPIAL4G
FGFR1	ACD
U2AF1	WDR12
BAP1	COL9A2
SMARCA4	STK19
KMT2D	CCDC28A
PTCH1	LRRC37A3
KEAP1	OXA1L
STK11	NDUFB9
RBM10	EMG1
ATM	TMEM216
SMAD4	CNOT9
ARHGEF12	TBC1D3B
RAF1	GNAI2
KMT2C	CCNQ
NFE2L2	ARIH2OS
FAT1	TLR4
CUL3	CD163L1
FBXW7	NPAP1
NSD1	SLC15A2
CALR	MAGEC1
MYOD1	JAKMIP2
EP300	ADGRV1
TGFBR2	DOT1L
JAK2	CLASP2
MPL	PRUNE2
TET2	HDAC9
IDH2	SNX31
EZH2	TACC1
MAP2K2	SETDB1
FAT4	CFAP45
LRP1B	RYR2
SF3B1	ULK2
COL3A1	DDX51
BRCA1	CTDNEP1
BRCA2	MGA
TMPRSS2	CMTR2
ERG	RIT1
PBRM1	PTPRU
ARID1B	KLHL5
