Disease ID,Disease Name,Disease Class
C0023903,Liver neoplasms,cancer
C0018798,Congenital Heart Defects,cardiovascular system disease
C0027051,Myocardial Infarction,cardiovascular system disease
C0028754,Obesity,acquired metabolic disease
C0005138,Berylliosis,respiratory system disease
C0036202,Sarcoidosis,immune system disease
C0033860,Psoriasis,integumentary system disease
C0027404,Narcolepsy,sleep disorder
C0020437,Hypercalcemia,acquired metabolic disease
C0018923,Hemangiosarcoma,cancer
C0025149,Medulloblastoma,cancer
C0027726,Nephrotic Syndrome,urinary system disease
C0008924,Cleft Lip,orofacial cleft
C0008925,Cleft Palate,orofacial cleft
C0887833,"Carcinoma, Pancreatic Ductal",cancer
C0027720,Nephrosis,urinary system disease
C0026636,Mouth Diseases,gastrointestinal system disease
C0740392,"Infarction, Middle Cerebral Artery",cardiovascular system disease
C0020538,Hypertensive disease,cardiovascular system disease
C0236969,Substance-Related Disorders,substance-related disorder
C0032460,Polycystic Ovary Syndrome,polycystic ovary syndrome
C0011882,Diabetic Neuropathies,nervous system disease
C0002878,"Anemia, Hemolytic",immune system disease
C0023343,Leprosy,bacterial infectious disease
C0024796,Marfan Syndrome,monogenic disease
C0003873,Rheumatoid Arthritis,musculoskeletal system disease
C0011884,Diabetic Retinopathy,nervous system disease
C0009363,Congenital ocular coloboma (disorder),nervous system disease
C0024121,Lung Neoplasms,benign neoplasm
C0004114,Astrocytoma,cancer
C1260899,"Anemia, Diamond-Blackfan",immune system disease
C0152013,Adenocarcinoma of lung (disorder),cancer
C0029422,Osteochondrodysplasias,musculoskeletal system disease
C0006142,Malignant neoplasm of breast,cancer
C1458155,Mammary Neoplasms,cancer
C0018995,Hemochromatosis,inherited metabolic disorder
C0030297,Pancreatic Neoplasm,cancer
C0206754,Neuroendocrine Tumors,cancer
C0024530,Malaria,parasitic infectious disease
C0162820,"Dermatitis, Allergic Contact",integumentary system disease
C0011849,Diabetes Mellitus,acquired metabolic disease
C0025521,Inborn Errors of Metabolism,inherited metabolic disorder
C0598608,Hyperhomocysteinemia,inherited metabolic disorder
C0030354,Papilloma,benign neoplasm
C0019693,HIV Infections,viral infectious disease
C0027658,"Neoplasms, Germ Cell and Embryonal",cancer
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,monogenic disease
C0021841,Intestinal Neoplasms,benign neoplasm
C0038013,Ankylosing spondylitis,musculoskeletal system disease
C0010606,Adenoid Cystic Carcinoma,cancer
C0242383,Age related macular degeneration,nervous system disease
C0080178,Spina Bifida,nervous system disease
C0339527,Leber Congenital Amaurosis,nervous system disease
C0007193,"Cardiomyopathy, Dilated",cardiovascular system disease
C0035334,Retinitis Pigmentosa,nervous system disease
C0018213,Graves Disease,immune system disease
C0007194,Hypertrophic Cardiomyopathy,cardiovascular system disease
C0008370,Cholestasis,gastrointestinal system disease
C0235032,Neurotoxicity Syndromes,nervous system disease
C0002171,Alopecia Areata,immune system disease
C0002170,Alopecia,integumentary system disease
C0752166,Bardet-Biedl Syndrome,monogenic disease
C0279626,Squamous cell carcinoma of esophagus,cancer
C0022658,Kidney Diseases,urinary system disease
C1800706,Idiopathic Pulmonary Fibrosis,respiratory system disease
C0004238,Atrial Fibrillation,cardiovascular system disease
C0019189,"Hepatitis, Chronic",gastrointestinal system disease
C0017658,Glomerulonephritis,urinary system disease
C0025286,Meningioma,cancer
C0004943,Behcet Syndrome,cardiovascular system disease
C0025202,melanoma,cancer
C0007117,Basal cell carcinoma,cancer
C0020517,Hypersensitivity,immune system disease
C0001418,Adenocarcinoma,cancer
C0011854,"Diabetes Mellitus, Insulin-Dependent",acquired metabolic disease
C0038454,Cerebrovascular accident,cardiovascular system disease
C0206726,gliosarcoma,cancer
C0019284,Diaphragmatic Hernia,musculoskeletal system disease
C0003504,Aortic Valve Insufficiency,cardiovascular system disease
C0038644,Sudden infant death syndrome,sudden infant death syndrome
C0032285,Pneumonia,respiratory system disease
C0035258,Restless Legs Syndrome,nervous system disease
C0206686,Adrenocortical carcinoma,cancer
C0917796,"Optic Atrophy, Hereditary, Leber",nervous system disease
C1142166,Brugada Syndrome (disorder),cardiovascular system disease
C0033805,Pseudohypoaldosteronism,urinary system disease
C0677886,Epithelial ovarian cancer,cancer
C0027708,Nephroblastoma,cancer
C0085207,Gestational Diabetes,acquired metabolic disease
C0085110,Severe Combined Immunodeficiency,immune system disease
C1140680,Malignant neoplasm of ovary,cancer
C0027707,"Nephritis, Interstitial",urinary system disease
C0010278,Craniosynostosis,musculoskeletal system disease
C0027092,Myopia,nervous system disease
C1336708,Testicular Germ Cell Tumor,cancer
C0006118,Brain Neoplasms,cancer
C0020619,Hypogonadism,endocrine system disease
C0026650,Movement Disorders,nervous system disease
C0020456,Hyperglycemia,acquired metabolic disease
C0206062,"Lung Diseases, Interstitial",respiratory system disease
C0028326,Noonan Syndrome,monogenic disease
C0020459,Hyperinsulinism,endocrine system disease
C0023434,Chronic Lymphocytic Leukemia,cancer
C0021051,Immunologic Deficiency Syndromes,immune system disease
C0020615,Hypoglycemia,endocrine system disease
C0019829,Hodgkin Disease,cancer
C0034951,Refractive Errors,nervous system disease
C0279628,Adenocarcinoma Of Esophagus,cancer
C0002895,"Anemia, Sickle Cell",monogenic disease
C0524620,Metabolic Syndrome X,acquired metabolic disease
C0338480,Common Migraine,nervous system disease
C0019196,Hepatitis C,viral infectious disease
C0023794,Lipoidosis,inherited metabolic disorder
C1527249,Colorectal Cancer,cancer
C0004153,Atherosclerosis,cardiovascular system disease
C0025500,Mesothelioma,benign neoplasm
C0013421,Dystonia,nervous system disease
C0162809,Kallmann Syndrome,endocrine system disease
C1168401,Squamous cell carcinoma of the head and neck,cancer
C0949658,"Cardiomyopathy, Hypertrophic, Familial",cardiovascular system disease
C0238288,"Muscular Dystrophy, Facioscapulohumeral",musculoskeletal system disease
C0009447,Common Variable Immunodeficiency,immune system disease
C0004096,Asthma,respiratory system disease
C0018671,Head and Neck Neoplasms,cancer
C0029401,Osteitis Deformans,musculoskeletal system disease
C0034065,Pulmonary Embolism,cardiovascular system disease
C0349639,Juvenile Myelomonocytic Leukemia,cancer
C0002395,Alzheimer's Disease,nervous system disease
C0085580,Essential Hypertension,cardiovascular system disease
C0151744,Myocardial Ischemia,cardiovascular system disease
C0034069,Pulmonary Fibrosis,respiratory system disease
C0020473,Hyperlipidemia,inherited metabolic disorder
C0026848,Myopathy,musculoskeletal system disease
C0035828,Romano-Ward Syndrome,monogenic disease
C0038325,Stevens-Johnson Syndrome,integumentary system disease
C0025958,Microcephaly,congenital nervous system abnormality
C0019202,Hepatolenticular Degeneration,gastrointestinal system disease
C0751778,"Myoclonic Epilepsies, Progressive",nervous system disease
C0026846,Muscular Atrophy,musculoskeletal system disease
C0004782,Basal Ganglia Diseases,nervous system disease
C0014553,Absence Epilepsy,nervous system disease
C0019163,Hepatitis B,viral infectious disease
C0024115,Lung diseases,respiratory system disease
C0268237,Cytochrome-c Oxidase Deficiency,inherited metabolic disorder
C0035304,Retinal Degeneration,nervous system disease
C0004352,Autistic Disorder,developmental disorder of mental health
C0031117,Peripheral Neuropathy,nervous system disease
C1333990,Hereditary Nonpolyposis Colorectal Cancer,monogenic disease
C0035309,Retinal Diseases,nervous system disease
C0023487,Acute Promyelocytic Leukemia,cancer
C0007134,Renal Cell Carcinoma,cancer
C0018099,Gout,musculoskeletal system disease
C0011616,Contact Dermatitis,integumentary system disease
C0011615,"Dermatitis, Atopic",integumentary system disease
C0007873,Uterine Cervical Neoplasm,cancer
C0878544,Cardiomyopathies,cardiovascular system disease
C0010068,Coronary heart disease,cardiovascular system disease
C0007137,Squamous cell carcinoma,cancer
C0079541,Holoprosencephaly,congenital nervous system abnormality
C0029456,Osteoporosis,musculoskeletal system disease
C0039685,Tetralogy of Fallot,cardiovascular system disease
C0043459,Zellweger Syndrome,inherited metabolic disorder
C0018801,Heart failure,cardiovascular system disease
C0524851,Neurodegenerative Disorders,nervous system disease
C0004763,Barrett Esophagus,gastrointestinal system disease
C0265965,Dyskeratosis Congenita,integumentary system disease
C0087012,"Ataxia, Spinocerebellar",nervous system disease
C0037274,Dermatologic disorders,integumentary system disease
C0520459,Necrotizing Enterocolitis,gastrointestinal system disease
C0015625,Fanconi Anemia,immune system disease
C0041948,Uremia,urinary system disease
C0023891,"Liver Cirrhosis, Alcoholic",gastrointestinal system disease
C0023890,Liver Cirrhosis,gastrointestinal system disease
C0042373,Vascular Diseases,cardiovascular system disease
C0023892,Biliary cirrhosis,immune system disease
C0023895,Liver diseases,gastrointestinal system disease
C0023418,leukemia,cancer
C0027765,nervous system disorder,nervous system disease
C0149925,Small cell carcinoma of lung,cancer
C0022661,"Kidney Failure, Chronic",urinary system disease
C0014544,Epilepsy,nervous system disease
C0009324,Ulcerative Colitis,gastrointestinal system disease
C0021400,Influenza,viral infectious disease
C1527336,Sjogren's Syndrome,immune system disease
C0022665,Kidney Neoplasm,cancer
C0023264,Leigh Disease,inherited metabolic disorder
C0023290,"Leishmaniasis, Visceral",parasitic infectious disease
C0014549,Tonic-Clonic Epilepsy,nervous system disease
C0018799,Heart Diseases,cardiovascular system disease
C0023493,Adult T-Cell Lymphoma/Leukemia,cancer
C0008312,Primary biliary cirrhosis,immune system disease
C0017601,Glaucoma,nervous system disease
C0005283,beta Thalassemia,monogenic disease
C0032914,Pre-Eclampsia,cardiovascular system disease
C0023186,Learning Disorders,developmental disorder of mental health
C0023976,Long QT Syndrome,monogenic disease
C0006413,Burkitt Lymphoma,cancer
C0022116,Ischemia,cardiovascular system disease
C0005684,Malignant neoplasm of urinary bladder,cancer
C0032580,Adenomatous Polyposis Coli,monogenic disease
C0040128,Thyroid Diseases,endocrine system disease
C0752347,Lewy Body Disease,nervous system disease
C0038356,Stomach Neoplasms,cancer
C0238463,Papillary thyroid carcinoma,cancer
C0042900,Vitiligo,immune system disease
C0017661,IGA Glomerulonephritis,urinary system disease
C0038358,Gastric ulcer,gastrointestinal system disease
C0027947,Neutropenia,immune system disease
C0021390,Inflammatory Bowel Diseases,gastrointestinal system disease
C0699790,Colon Carcinoma,cancer
C0009319,Colitis,gastrointestinal system disease
C0020445,"Hypercholesterolemia, Familial",inherited metabolic disorder
C0026691,Mucocutaneous Lymph Node Syndrome,immune system disease
C0349788,Arrhythmogenic Right Ventricular Dysplasia,cardiovascular system disease
C0007570,Celiac Disease,immune system disease
C0001624,Adrenal Gland Neoplasms,cancer
C0149931,Migraine Disorders,nervous system disease
C0017668,Focal glomerulosclerosis,urinary system disease
C0002871,Anemia,immune system disease
C0334588,Giant Cell Glioblastoma,cancer
C0018784,Sensorineural Hearing Loss (disorder),nervous system disease
C0027819,Neuroblastoma,cancer
C0282527,Infantile Refsum Disease (disorder),inherited metabolic disorder
C0024305,"Lymphoma, Non-Hodgkin",cancer
C0376358,Malignant neoplasm of prostate,cancer
C0020179,Huntington Disease,nervous system disease
C0036421,Systemic Scleroderma,immune system disease
C0019569,Hirschsprung Disease,gastrointestinal system disease
C0017636,Glioblastoma,cancer
C0270853,"Myoclonic Epilepsy, Juvenile",nervous system disease
C0003872,"Arthritis, Psoriatic",psoriatic arthritis
C0919267,ovarian neoplasm,cancer
C0007131,Non-Small Cell Lung Carcinoma,cancer
C0162871,"Aortic Aneurysm, Abdominal",cardiovascular system disease
C0206698,Cholangiocarcinoma,cancer
C0007273,Carotid Artery Diseases,cardiovascular system disease
C0007138,"Carcinoma, Transitional Cell",cancer
C0002622,Amnesia,cognitive disorder
C0017638,Glioma,cancer
C0013080,Down Syndrome,chromosomal disease
C0005695,Bladder Neoplasm,cancer
C0002736,Amyotrophic Lateral Sclerosis,nervous system disease
C0030305,Pancreatitis,endocrine system disease
C0002514,"Amino Acid Metabolism, Inborn Errors",inherited metabolic disorder
C0033687,Proteinuria,urinary system disease
C0018824,Heart valve disease,cardiovascular system disease
C0040136,Thyroid Neoplasm,cancer
C0037769,West Syndrome,nervous system disease
C0175702,Williams Syndrome,chromosomal disease
C0040034,Thrombocytopenia,immune system disease
C0271650,Impaired glucose tolerance,acquired metabolic disease
C0023467,"Leukemia, Myelocytic, Acute",cancer
C0162666,Mitochondrial Encephalomyopathies,musculoskeletal system disease
C0024809,Marijuana Abuse,substance-related disorder
C0029172,Oral Submucous Fibrosis,gastrointestinal system disease
C0001430,Adenoma,benign neoplasm
C0019151,Hepatic Encephalopathy,nervous system disease
C0026769,Multiple Sclerosis,nervous system disease
C0024141,"Lupus Erythematosus, Systemic",musculoskeletal system disease
C0032273,Pneumoconiosis,respiratory system disease
C0037286,Skin Neoplasms,benign neoplasm
C0023473,"Myeloid Leukemia, Chronic",cancer
C0007222,Cardiovascular Diseases,cardiovascular system disease
C0023470,Myeloid Leukemia,cancer
C0007787,Transient Ischemic Attack,cardiovascular system disease
C0007786,Brain Ischemia,cardiovascular system disease
C0007785,Cerebral Infarction,cardiovascular system disease
C0014556,"Epilepsy, Temporal Lobe",nervous system disease
C0007959,Charcot-Marie-Tooth Disease,nervous system disease
C0006663,Calcinosis,acquired metabolic disease
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",acquired metabolic disease
C0022336,Creutzfeldt-Jakob disease,nervous system disease
C0036920,Sezary Syndrome,cancer
C0024117,Chronic Obstructive Airway Disease,respiratory system disease
C0030567,Parkinson Disease,nervous system disease
C0014170,Endometrial Neoplasms,cancer
C0241910,"Hepatitis, Autoimmune",immune system disease
C0033578,Prostatic Neoplasms,cancer
C0014175,Endometriosis,reproductive system disease
C0021364,Male infertility,reproductive system disease
C0848558,Hypospadias,hypospadias
C0026764,Multiple Myeloma,cancer
C0014859,Esophageal Neoplasms,cancer
C0015695,Fatty Liver,inherited metabolic disorder
C0003469,Anxiety Disorders,cognitive disorder
C0341106,Eosinophilic esophagitis,gastrointestinal system disease
C0020542,Pulmonary Hypertension,cardiovascular system disease
C0030319,Panic Disorder,cognitive disorder
C0022521,Kartagener Syndrome,ciliopathy
C0162671,MELAS Syndrome,musculoskeletal system disease
C0162670,Mitochondrial Myopathies,musculoskeletal system disease
C0026603,Motion Sickness,nervous system disease
C0005586,Bipolar Disorder,cognitive disorder
C0040028,"Thrombocythemia, Essential",cancer
C0006111,Brain Diseases,nervous system disease
C0003864,Arthritis,musculoskeletal system disease
C0038220,Status Epilepticus,nervous system disease
