Disease ID,Disease Name,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
C0036095,Salivary Gland Neoplasms,0.088888889,0.019191919,-0.00621367,2.9253003,0.404333
C0033941,"Psychoses, Substance-Induced",0.352941176,0.117647059,-0.008136609,2.840909091,0.2566447
C0043459,Zellweger Syndrome,1,0.352380952,-0.001201107,N/A,0.1329351
C0033860,Psoriasis,0.25,0.01835443,-0.01331345,3.008826638,0.2251713
C0027726,Nephrotic Syndrome,0.095238095,0.085714286,-0.004026501,2.781045752,0.2147385
C0338480,Common Migraine,0.083333333,0.075757576,-0.000996159,3.181818182,0.992859
C0026636,Mouth Diseases,0.25,0.151515152,-0.003339311,2.819444444,0.3316885
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.785714286,0.402116402,-0.002795864,3.151515152,0.003117768
C0236969,Substance-Related Disorders,0.096491228,0.005899705,-0.009981804,3.268113335,0.4571763
C0002878,"Anemia, Hemolytic",0.25,0.151515152,-0.001339557,2.725925926,0.5034558
C0003873,Rheumatoid Arthritis,0.433789954,0.008839177,-0.02650679,3.240084363,0.06132885
C0003872,"Arthritis, Psoriatic",0.176470588,0.088235294,-0.003178747,2.837606838,0.6507261
C0002871,Anemia,0.074074074,0.042735043,-0.003051028,2.947628458,0.2814131
C0206698,Cholangiocarcinoma,0.583333333,0.115942029,-0.011549776,2.767532468,0.03405868
C0206754,Neuroendocrine Tumors,0.2,0.111111111,-0.001857971,2.5,0.1574286
C0024530,Malaria,0.095238095,0.061904762,-0.002412635,2.990808824,0.4004668
C0598608,Hyperhomocysteinemia,0.181818182,0.145454545,-0.001398756,2.933333333,0.5135001
C0019693,HIV Infections,0.72,0.068484848,-0.040957679,2.952901235,0.07112142
C0038013,Ankylosing spondylitis,0.2,0.076190476,-0.002142636,3.151515152,0.9967929
C0010606,Adenoid Cystic Carcinoma,0.49,0.027878788,-0.023101086,3.089854443,0.07134355
C3495559,Juvenile arthritis,0.2421875,0.011564961,-0.017819153,2.987241593,0.3359439
C0027659,"Neoplasms, Experimental",0.371428571,0.077310924,-0.009888429,2.64439946,0.5188984
C0027658,"Neoplasms, Germ Cell and Embryonal",0.153846154,0.08974359,-0.001256632,3.037878788,0.1157868
C0002171,Alopecia Areata,0.272727273,0.127272727,-0.000588018,3.253968254,0.9949564
C0002170,Alopecia,0.133333333,0.066666667,-0.003077714,2.814393939,0.9049817
C0428977,Bradycardia,0.166666667,0.050724638,-0.001398857,3.075980392,0.6904493
C0009447,Common Variable Immunodeficiency,0.333333333,0.181818182,-0.003000628,2.611607143,0.04625038
C0017658,Glomerulonephritis,0.266666667,0.082758621,-0.00531807,2.794113757,0.7482071
C0001973,"Alcoholic Intoxication, Chronic",0.097560976,0.024390244,-0.003440644,3.190524194,0.1564892
