UniProt ID(supplied by UniProt)	NCBI Gene ID(supplied by NCBI)
P04217	1
	503538
Q9NQ94	29974
P01023	2
	144571
A8K2U0	144568
	100874108
	106478979
	3
U3KPV4	127550
Q9NPC4	53947
Q9UNA3	51146
Q9NRG9	8086
Q86V21	65985
	729522
P22760	13
Q6P093	344752
	101928142
Q5VUY0	126767
Q5VUY2	343066
	201651
Q8N5Z0	51166
Q6PD74	79719
Q2M2I8	22848
Q9H7C9	28971
Q13685	14
Q16613	15
Q9Y312	25980
Q4LEZ3	441376
P49588	16
	106480683
Q5JTZ9	57505
Q9BTE6	80755
Q4L235	132949
Q9NRN7	60496
Q9UDR5	10157
	284837
Q9NY61	26574
Q6ZMQ8	9625
	17
	103021294
P80404	18
O95477	19
Q9BZC7	20
Q99758	21
P78363	24
Q8WWZ7	23461
Q8N139	23460
Q8IZY2	10347
O94911	10351
Q8IUA7	10350
	104355297
Q8WWZ4	10349
Q4W5N1	79963
Q86UK0	26154
Q86UQ4	154664
	650655
P08183	5243
P21439	5244
Q2M3G0	340273
Q9NP58	10058
O75027	22
Q9NUT2	11194
Q9NP78	23457
Q9NRK6	23456
	56476
	728248
	100132289
O95342	8647
P33527	4363
Q92887	1244
O15438	8714
O15439	10257
O15440	10057
	100873982
O95255	368
	653190
	730013
Q09428	6833
O60706	10060
Q5T3U5	89845
Q96J66	85320
Q96J65	94160
	150000
P33897	215
	23785
	26983
	26982
	26957
	642762
Q9UBJ2	225
P28288	5825
O14678	5826
P61221	6059
Q8NE71	23
	107986587
Q9UG63	10061
	344653
	100422059
Q9NUQ8	55324
P45844	9619
Q9UNQ0	9429
Q9H172	64137
Q9H222	64240
Q9H221	64241
Q96SE0	84696
P08910	11057
Q8WU67	171586
Q8TB40	63874
Q8WTS1	51099
Q9BV23	57406
Q96I13	79575
Q9NUJ1	55347
Q8NFV4	83451
	171022
Q8N2K0	26090
Q7Z5M8	145447
Q7L211	84945
Q9BUJ0	25864
	100526760
Q96IU4	84836
